id,name,area,distance,drive_time,difficulty,scenery,plants,hiking_distance,road_condition
1,紫霞山,龙泉驿,42km,50min,★,俯瞰苍翠和龙泉驿市区,青冈树、慈竹,3.3km,石梯、木栈道
2,狮子宝,大邑,50km,1h 30min,★★,清丽基地、鹤鸣道观、深阔天谷洞、石林,马蹄、蕨菜、野葱、梅花、竹林,7km,石梯、土路
3,钟家山,龙泉驿,50km,1h 30min,★,飞龙湖、一、二、三、四号平台、连心亭,枇杷、柑橘,7km,木栈栈道
4,白碗窑,龙泉驿,50km,1h 30min,★,绝望坡小孩的天堂,枇杷、橘子,8km,土路泥多
5,中坝森林,彭州,50km,1h 30min,★,暮光森林,杉树、灵芝、竹林、松鼠,6km,水泥路+木栈
6,葛仙山,彭州,50km,1h 30min,★★,冰川漂砾、道教,水杉、刺莓、刺柳,10km,水泥路+野路
7,仰天窝,龙泉驿,50km,1h 30min,★,野吃野林、土坡坡,枇杷、桑葚,6km,土路
8,九龙沟药仙谷,崇州,50km,1h 30min,★★,原始丛林、杉树、山水画廊,茶叶、螃蟹,7km,土路
9,老君山,新津,50km,1h 30min,★,道教、上善若水、水利万物而不争,折耳根、刺莓,7km,水泥路、土路
10,蔡岭岭,双流,50km,1h 30min,★,气象站、俯瞰双流,刺莓、桃子、李子、杏子,6km,石梯、土路
11,肖家山,崇州,50km,1h 30min,★,山顶草甸、棕树林、白塔湖,刺莓,7km,土路
12,云顶山,金堂,50km,1h 30min,★,慈云寺、古炮台、三国文化,千年银杏,6km,石梯
13,三皇观,彭州,50km,1h 30min,★,山脊线、山水墨画、钻树林,橘子、花椒,6km,土路
14,三元场,大邑,50km,1h 30min,★,乌梅花、烧乌梅、山水墨画,乌梅、酸草,8km,土路
15,石牛角,彭州,50km,1h 30min,★,莲花园、谢家洞、砖洞、五龙洞、攀岩、钻树林,黄连、螃蟹、桑葚、竹林、黄连、珙桐、野猪、原始森林,10km,野路
16,梨花沟张家山,彭州,50km,1h 30min,★,梨子、李子、山顶看秦岭,梨、李子,6km,土路、水泥路
17,阳平农观,彭州,50km,1h 30min,★,竹林、崇州寮林叶竹河、适合下雨天,竹笋,5km,水泥路
18,龙溪湿地公园,崇州,50km,1h 30min,★,水道、稻田、农家生活,李子、竹林,4km,水泥路
